#   item   supplier   order#   currency price [url]   [currency price [url]]   ...
#   num   subsystem   use


!supplierdef   Misumi   EUR http://uk.misumi-ec.com/eu/EcSearchView.html?kw=%%   USD http://us.misumi-ec.com/us/EcSearchView.html?kw=%%
!supplierdef   ThorLabs   EUR http://www.thorlabs.com/search/thorsearch.cfm?search=%%   USD http://www.thorlabs.com/search/thorsearch.cfm?search=%%
!supplierdef   Mouser   EUR http://eu.mouser.com/Search/Refine.aspx?Keyword=%%   USD http://mouser.com/Search/Refine.aspx?Keyword=%%


### NortdLabs
Cable Ties   NortdLabs   la-zip   USD 7 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=71&currency=USD   EUR 6 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=71&currency=EUR
   4/24   y-drive   4x belt to cart
   4/24   x-drive   4x belt to cart
   16/24   optics-laser   16x cable and hose to laser tube
Door Sensor Pack   NortdLabs   la-dsp   USD 58 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=66&currency=USD   EUR 50 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=66&currency=EUR
   1   frame-door   2x door sensors, 2x door sensor magnets
DriveBoard DIY Pack   NortdLabs   la-dbdy   USD 237 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=63&currency=USD   EUR 206 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=63&currency=EUR
   1   electronics   controller board
DriveBoard Wiring Pack   NortdLabs   la-dwp   USD 94 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=70&currency=USD   EUR 82 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=70&currency=EUR
   1   electronics   DriveBoard wiring, laser, chiller, power, data
E-Valve Assembly   NortdLabs   la-evas   USD 58 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=73&currency=USD   EUR 50 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=73&currency=EUR
   1   air-assist   air assist flow control
E-Stop Assembly   NortdLabs   la-estp   USD 39 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=68&currency=USD   EUR 34 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=68&currency=EUR
   1   electronics   DriveBoard emergency stop button
GT Timing Belt Pack   NortdLabs   la-gtb   USD 131 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=58&currency=USD   EUR 95 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=58&currency=EUR
   1/3   x-drive   1x 3060mm drive belt
   2/3   y-drive   2x 1840mm drive belt
LasersaurBBB (BeagleBoneBlack, Wifi, configured)   NortdLabs   la-bbb   USD 109.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=53&currency=USD   EUR 95.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=53&currency=EUR
   1   electronics   controller board
Limit Sensor Pack   NortdLabs   la-lsp   USD 94 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=67&currency=USD   EUR 82 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=67&currency=EUR
   2/8   y-cart   2x limit sensor magnets
   2/8   y-drive   2x limit sensors
   2/8   x-cart   2x limit sensor magnets
   2/8   x-drive   2x limit sensors
MechParts   NortdLabs   la-mpk   USD 261 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=50&currency=USD   EUR 227.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=50&currency=EUR
   2/21   frame-door   2x door sensor mounts
   7/21   y-drive   5x shaft mounts, 1x limit sensor mount, 1x motor mount
   3/21   x-cart   2x roller/optics mounts, 1x cable carrier mount
   5/21   x-drive   3x motor/gear mount, 2x limit sensor mounts
   4/21   optics-laser   4x laser tube mounts
Mirror Mount Pack   NortdLabs   la-mmp   USD 182 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=64&currency=USD   EUR 158 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=64&currency=EUR
   1   optics-laser   3x flying optics, 1, 2, 3
Panel Pack   NortdLabs   la-mpan   USD 102 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=74&currency=USD   EUR 89 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=74&currency=EUR
   3/7   frame-bottom   outer separation panels, entry panel
   2/7   frame-top   outer separation panels
   2/7   electronics   DriveBoard and 24V/5V PSU mount, C14 power socket mount
Nozzle Assembly   NortdLabs   la-nozb   USD 135.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=59&currency=USD   EUR 118.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=59&currency=EUR
   1   optics-laser   laser head
Optics Accessory Pack   NortdLabs   la-oacc   USD 218 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=65&currency=USD   EUR 189 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=65&currency=EUR
   1   optics-laser   extra
Optics Pack   NortdLabs   la-lmp   USD 315.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=56&currency=USD   EUR 274.0 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=56&currency=EUR
   1   optics-laser   laser beam delivery
Power Supply Pack   NortdLabs   la-psu   USD 66 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=69&currency=USD   EUR 58 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=69&currency=EUR
   1   electronics   DriveBoard power, 5V and 24V
Rubber Tape   NortdLabs   la-rubt   USD 8 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=72&currency=USD   EUR 8 http://store.lasersaur.com/index.php?route=product/product&path=59&product_id=72&currency=EUR
   1   optics-laser   between laser tube and mounts
